a,n,m,deltam,objVal,deltaObjVal,elapsedTime,deltaElapsedTime,nSolution,deltaNSolution,sumPenalty,deltaSumPenalty,sumEdgeCost,deltaSumEdgeCost,objValTimesElapsedTime,deltaObjValTimesElapsedTime,nSolutionDividedByN,deltaNSolutionDividedByN,sumPenaltyDividedByObjVal,deltaSumPenaltyDividedByObjVal,sumEdgeCostDividedByObjVal,deltaSumEdgeCostDividedByObjVal
0.3,0.3,4346,4475.65,1404.19,577.57,6.00799e+10,1.73435e+08,84.2654,60.234,458.568,549.701,945.617,468.385,8.44034e+13,3.4823e+13,0.760833,0.344676,0.289655,0.252261,0.710345,0.252261
0.3,0.5,4346,4475.65,1404.19,577.57,6.00799e+10,1.73435e+08,84.2654,60.234,458.568,549.701,945.617,468.385,8.44034e+13,3.4823e+13,0.760833,0.344676,0.289655,0.252261,0.710345,0.252261
0.3,0.7,4346,4475.65,1404.19,577.57,6.00799e+10,1.73435e+08,84.2654,60.234,458.568,549.701,945.617,468.385,8.44034e+13,3.4823e+13,0.760833,0.344676,0.289655,0.252261,0.710345,0.252261
0.5,0.3,4346,4475.65,1423.65,609.735,6.00692e+10,1.38789e+08,79.7778,61.8358,501.821,610.723,921.833,483.011,8.55474e+13,3.67047e+13,0.724043,0.361978,0.308253,0.267436,0.691747,0.267436
0.5,0.5,4346,4475.65,1423.65,609.735,6.00692e+10,1.38789e+08,79.7778,61.8358,501.821,610.723,921.833,483.011,8.55474e+13,3.67047e+13,0.724043,0.361978,0.308253,0.267436,0.691747,0.267436
0.5,0.7,4346,4475.65,1423.65,609.735,6.00692e+10,1.38789e+08,79.7778,61.8358,501.821,610.723,921.833,483.011,8.55474e+13,3.67047e+13,0.724043,0.361978,0.308253,0.267436,0.691747,0.267436
0.7,0.3,4346,4475.65,1425.9,610.756,6.00939e+10,2.09132e+08,77.7469,61.2962,516.63,619.32,909.272,488.436,8.57329e+13,3.6824e+13,0.70534,0.362843,0.317578,0.273861,0.682422,0.273861
0.7,0.5,4346,4475.65,1425.9,610.756,6.00939e+10,2.09132e+08,77.7469,61.2962,516.63,619.32,909.272,488.436,8.57329e+13,3.6824e+13,0.70534,0.362843,0.317578,0.273861,0.682422,0.273861
0.7,0.7,4346,4475.65,1425.9,610.756,6.00939e+10,2.09132e+08,77.7469,61.2962,516.63,619.32,909.272,488.436,8.57329e+13,3.6824e+13,0.70534,0.362843,0.317578,0.273861,0.682422,0.273861
