n,d,k,t,i,m,flag,objVal,gap,elapsedTime,nSolution,sumPenalty,sumEdgeCost,objVal*elapsedTime,nSolution/n,sumPenalty/objVal,sumEdgeCost/objVal
50,0.7,0,0,0,858,1,753,0,182000024,50,0,753,1.37046e+11,1,1,0,1
50,0.7,0,0,1,858,1,716,0,217547363,50,0,716,1.55764e+11,1,1,0,1
50,0.7,0,0,2,858,1,657,0,1352683433,50,0,657,8.88713e+11,1,1,0,1
50,0.7,0,1,0,858,1,715,0,671867550,50,0,715,4.80385e+11,1,1,0,1
50,0.7,0,1,1,858,1,690,0,423447755,50,0,690,2.92179e+11,1,1,0,1
50,0.7,0,1,2,858,1,692,0,512861516,50,0,692,3.549e+11,1,1,0,1
50,0.7,10,0,0,858,1,594,0,59880729656,41,47,547,3.55692e+13,0.82,0.82,0.0791246,0.920875
50,0.7,10,0,1,858,1,600,0.055,60069967274,36,83,517,3.6042e+13,0.72,0.72,0.138333,0.861667
50,0.7,10,0,2,858,1,741,0,10824152240,42,48,693,8.0207e+12,0.84,0.84,0.0647773,0.935223
50,0.7,10,1,0,858,1,664,0.0210843,60018036686,48,21,643,3.9852e+13,0.96,0.96,0.0316265,0.968373
50,0.7,10,1,1,858,1,632,0,1482290375,45,56,576,9.36808e+11,0.9,0.9,0.0886076,0.911392
50,0.7,10,1,2,858,1,616,0,26535699096,47,44,572,1.6346e+13,0.94,0.94,0.0714286,0.928571
50,0.7,20,0,0,858,1,485,0.0453608,60044149314,29,145,340,2.91214e+13,0.58,0.58,0.298969,0.701031
50,0.7,20,0,1,858,1,500,0.04,60029542115,28,122,378,3.00148e+13,0.56,0.56,0.244,0.756
50,0.7,20,0,2,858,1,535,0.171963,60052372124,33,114,421,3.2128e+13,0.66,0.66,0.213084,0.786916
50,0.7,20,1,0,858,1,630,0,23940769055,39,121,509,1.50827e+13,0.78,0.78,0.192063,0.807937
50,0.7,20,1,1,858,1,576,0,3139772852,36,127,449,1.80851e+12,0.72,0.72,0.220486,0.779514
50,0.7,20,1,2,858,1,549,0,6747352788,35,123,426,3.7043e+12,0.7,0.7,0.224044,0.775956
100,0.3,0,0,0,1485,1,1584,0,335554018,100,0,1584,5.31518e+11,1,1,0,1
100,0.3,0,0,1,1485,1,1629,0,46668399,100,0,1629,7.60228e+10,1,1,0,1
100,0.3,0,0,2,1485,1,1440,0,2084434302,100,0,1440,3.00159e+12,1,1,0,1
100,0.3,0,1,0,1485,1,1504,0,386863803,99,3,1501,5.81843e+11,0.99,0.99,0.00199468,0.998005
100,0.3,0,1,1,1485,1,1522,0,1069936084,100,0,1522,1.62844e+12,1,1,0,1
100,0.3,0,1,2,1485,1,1500,0,4126885004,100,0,1500,6.19033e+12,1,1,0,1
100,0.3,10,0,0,1485,1,1056,0,6237523178,56,324,732,6.58682e+12,0.56,0.56,0.306818,0.693182
100,0.3,10,0,1,1485,1,1101,0,9430137447,63,286,815,1.03826e+13,0.63,0.63,0.259764,0.740236
100,0.3,10,0,2,1485,1,1044,0,13021260556,54,275,769,1.35942e+13,0.54,0.54,0.26341,0.73659
100,0.3,10,1,0,1485,1,1259,0,2572601804,81,229,1030,3.23891e+12,0.81,0.81,0.18189,0.81811
100,0.3,10,1,1,1485,1,1257,0,1486271331,77,272,985,1.86824e+12,0.77,0.77,0.216388,0.783612
100,0.3,10,1,2,1485,1,1147,0,3546178136,73,264,883,4.06747e+12,0.73,0.73,0.230166,0.769834
100,0.3,20,0,0,1485,1,891,0.013468,60035056891,30,463,428,5.34912e+13,0.3,0.3,0.519641,0.480359
100,0.3,20,0,1,1485,1,877,0.0307868,60033326616,31,494,383,5.26492e+13,0.31,0.31,0.563284,0.436716
100,0.3,20,0,2,1485,1,871,0,38283764579,44,370,501,3.33452e+13,0.44,0.44,0.424799,0.575201
100,0.3,20,1,0,1485,1,1150,0,10593880578,64,399,751,1.2183e+13,0.64,0.64,0.346957,0.653043
100,0.3,20,1,1,1485,1,1155,0,55636134228,67,400,755,6.42597e+13,0.67,0.67,0.34632,0.65368
100,0.3,20,1,2,1485,1,1266,0,48738274381,68,412,854,6.17027e+13,0.68,0.68,0.325434,0.674566
100,0.5,0,0,0,2475,1,1128,0.00531915,60094750932,100,0,1128,6.77869e+13,1,1,0,1
100,0.5,0,0,1,2475,1,1035,0,4298219664,100,0,1035,4.44866e+12,1,1,0,1
100,0.5,0,0,2,2475,1,1170,0,10989541778,100,0,1170,1.28578e+13,1,1,0,1
100,0.5,0,1,0,2475,1,1080,0.00833333,60061674142,100,0,1080,6.48666e+13,1,1,0,1
100,0.5,0,1,1,2475,1,1225,0,2298820424,100,0,1225,2.81606e+12,1,1,0,1
100,0.5,0,1,2,2475,1,1067,0,7007874766,100,0,1067,7.4774e+12,1,1,0,1
100,0.5,10,0,0,2475,1,931,0.0622986,60040976993,59,264,667,5.58981e+13,0.59,0.59,0.283566,0.716434
100,0.5,10,0,1,2475,1,1071,0.142857,60040822954,63,242,829,6.43037e+13,0.63,0.63,0.225957,0.774043
100,0.5,10,0,2,2475,1,994,0.0895372,60051707220,62,256,738,5.96914e+13,0.62,0.62,0.257545,0.742455
100,0.5,10,1,0,2475,1,1192,0.0964765,60034816240,86,144,1048,7.15615e+13,0.86,0.86,0.120805,0.879195
100,0.5,10,1,1,2475,1,1070,0.0345794,60042011865,80,191,879,6.4245e+13,0.8,0.8,0.178505,0.821495
100,0.5,10,1,2,2475,1,1079,0.0324374,60048407083,81,173,906,6.47922e+13,0.81,0.81,0.160334,0.839666
100,0.5,20,0,0,2475,1,923,0.135428,60050966478,43,372,551,5.5427e+13,0.43,0.43,0.403034,0.596966
100,0.5,20,0,1,2475,1,927,0.119741,60047948844,41,434,493,5.56644e+13,0.41,0.41,0.468177,0.531823
100,0.5,20,0,2,2475,1,907,0.126792,60059180283,45,380,527,5.44737e+13,0.45,0.45,0.418964,0.581036
100,0.5,20,1,0,2475,1,1005,0.081592,60038415678,77,207,798,6.03386e+13,0.77,0.77,0.20597,0.79403
100,0.5,20,1,1,2475,1,1002,0,23838652903,79,225,777,2.38863e+13,0.79,0.79,0.224551,0.775449
100,0.5,20,1,2,2475,1,966,0,15104780983,78,216,750,1.45912e+13,0.78,0.78,0.223602,0.776398
100,0.7,0,0,0,3465,0,1e+100,1e+100,60301215758,0,810,0,6.03012e+110,0,0,8.1e-98,0
100,0.7,0,0,1,3465,0,1e+100,1e+100,60057187552,0,786,0,6.00572e+110,0,0,7.86e-98,0
100,0.7,0,0,2,3465,1,951,0.00736067,60047396544,100,0,951,5.71051e+13,1,1,0,1
100,0.7,0,1,0,3465,1,910,0,10828820967,100,0,910,9.85423e+12,1,1,0,1
100,0.7,0,1,1,3465,1,990,0,7267479315,100,0,990,7.1948e+12,1,1,0,1
100,0.7,0,1,2,3465,1,993,0.0483384,60066380409,100,0,993,5.96459e+13,1,1,0,1
100,0.7,10,0,0,3465,1,1072,0.25653,60065500829,76,132,940,6.43902e+13,0.76,0.76,0.123134,0.876866
100,0.7,10,0,1,3465,1,1119,0.252011,60052630799,74,177,942,6.71989e+13,0.74,0.74,0.158177,0.841823
100,0.7,10,0,2,3465,1,1166,0.354202,60060862009,77,134,1032,7.0031e+13,0.77,0.77,0.114923,0.885077
100,0.7,10,1,0,3465,1,1081,0.182239,60074763430,88,108,973,6.49408e+13,0.88,0.88,0.0999075,0.900093
100,0.7,10,1,1,3465,0,1e+100,1e+100,60061347513,0,1398,0,6.00613e+110,0,0,1.398e-97,0
100,0.7,10,1,2,3465,0,1e+100,1e+100,60052555303,0,1571,0,6.00526e+110,0,0,1.571e-97,0
100,0.7,20,0,0,3465,1,900,0.236667,60089653262,62,245,655,5.40807e+13,0.62,0.62,0.272222,0.727778
100,0.7,20,0,1,3465,0,1e+100,1e+100,60048793587,0,724,0,6.00488e+110,0,0,7.24e-98,0
100,0.7,20,0,2,3465,1,1007,0.36147,60065318925,41,442,565,6.04858e+13,0.41,0.41,0.438928,0.561072
100,0.7,20,1,0,3465,1,978,0.213701,60059099884,79,163,815,5.87378e+13,0.79,0.79,0.166667,0.833333
100,0.7,20,1,1,3465,1,1055,0.238863,60062224580,82,214,841,6.33656e+13,0.82,0.82,0.202844,0.797156
100,0.7,20,1,2,3465,0,1e+100,1e+100,60057107039,0,1262,0,6.00571e+110,0,0,1.262e-97,0
200,0.3,0,0,0,5970,1,2116,0,6580024734,200,0,2116,1.39233e+13,1,1,0,1
200,0.3,0,0,1,5970,0,1e+100,1e+100,60163168725,0,1563,0,6.01632e+110,0,0,1.563e-97,0
200,0.3,0,0,2,5970,1,1960,0,21292823674,200,0,1960,4.17339e+13,1,1,0,1
200,0.3,0,1,0,5970,1,1924,0,21735768823,199,12,1912,4.18196e+13,0.995,0.995,0.00623701,0.993763
200,0.3,0,1,1,5970,1,2086,0,7923288394,199,5,2081,1.6528e+13,0.995,0.995,0.00239693,0.997603
200,0.3,0,1,2,5970,1,1993,0,15276567446,198,22,1971,3.04462e+13,0.99,0.99,0.0110386,0.988961
200,0.3,10,0,0,5970,1,2158,0.370714,60134068846,118,493,1665,1.29769e+14,0.59,0.59,0.228452,0.771548
200,0.3,10,0,1,5970,1,1583,0.0562224,60107097190,119,512,1071,9.51495e+13,0.595,0.595,0.323437,0.676563
200,0.3,10,0,2,5970,0,1e+100,1e+100,60133052043,0,1615,0,6.01331e+110,0,0,1.615e-97,0
200,0.3,10,1,0,5970,1,2148,0.165736,60160883853,152,524,1624,1.29226e+14,0.76,0.76,0.243948,0.756052
200,0.3,10,1,1,5970,1,1974,0.0901722,60141299145,163,404,1570,1.18719e+14,0.815,0.815,0.204661,0.795339
200,0.3,10,1,2,5970,1,1780,0,14254322423,173,294,1486,2.53727e+13,0.865,0.865,0.165169,0.834831
200,0.3,20,0,0,5970,0,1e+100,1e+100,60131836066,0,1576,0,6.01318e+110,0,0,1.576e-97,0
200,0.3,20,0,1,5970,1,1952,0.317623,60121896320,51,1117,835,1.17358e+14,0.255,0.255,0.572234,0.427766
200,0.3,20,0,2,5970,1,1462,0.0615595,60103831720,107,621,841,8.78718e+13,0.535,0.535,0.424761,0.575239
200,0.3,20,1,0,5970,1,1950,0.134359,60137246338,160,328,1622,1.17268e+14,0.8,0.8,0.168205,0.831795
200,0.3,20,1,1,5970,1,1897,0.0690564,60162462037,160,359,1538,1.14128e+14,0.8,0.8,0.189246,0.810754
200,0.3,20,1,2,5970,1,1716,0,19454759376,156,407,1309,3.33844e+13,0.78,0.78,0.237179,0.762821
200,0.5,0,0,0,9950,0,1e+100,1e+100,60198152883,0,1534,0,6.01982e+110,0,0,1.534e-97,0
200,0.5,0,0,1,9950,1,2670,0.414981,60197687303,200,0,2670,1.60728e+14,1,1,0,1
200,0.5,0,0,2,9950,1,1719,0.095986,60153445158,199,5,1714,1.03404e+14,0.995,0.995,0.00290867,0.997091
200,0.5,0,1,0,9950,1,10518,0.853965,60141981310,199,17,10501,6.32573e+14,0.995,0.995,0.00161628,0.998384
200,0.5,0,1,1,9950,1,10537,0.856126,60183117052,199,12,10525,6.3415e+14,0.995,0.995,0.00113884,0.998861
200,0.5,0,1,2,9950,0,1e+100,1e+100,60228671032,0,2831,0,6.02287e+110,0,0,2.831e-97,0
200,0.5,10,0,0,9950,0,1e+100,1e+100,60151601185,0,1532,0,6.01516e+110,0,0,1.532e-97,0
