t,m,deltaM,flag,deltaFlag,objVal,deltaObjVal,gap,deltaGap,elapsedTime,deltaElapsedTime,nSolution,deltaNSolution,sumPenalty,deltaSumPenalty,sumEdgeCost,deltaSumEdgeCost,objValTimesElapsedTime,deltaObjValTimesElapsedTime,nSolutionDividedByN,deltaNSolutionDividedByN,sumPenaltyDividedByObjVal,deltaSumPenaltyDividedByObjVal,sumEdgeCostDividedByObjVal,deltaSumEdgeCostDividedByObjVal
0,3186.23,3647.75,1,0,1285.53,1290.83,0.115042,0.184614,3.39237e+10,2.83301e+10,69.2121,48.8497,229.197,293.72,1056.33,1288.01,5.20334e+13,8.63697e+13,0.694773,0.25234,0.198734,0.177002,0.801266,0.177002
1,3249.58,3471.4,1,0,1526.74,1685.31,0.0905405,0.196552,2.4979e+10,2.67568e+10,90.029,54.4402,181.116,333.889,1345.62,1673.18,5.62594e+13,1.13139e+14,0.845,0.155452,0.13258,0.130603,0.86742,0.130603
