ps,mr,n,m,deltam,objVal,deltaObjVal,elapsedTime,deltaElapsedTime,nSolution,deltaNSolution,sumPenalty,deltaSumPenalty,sumEdgeCost,deltaSumEdgeCost,objValTimesElapsedTime,deltaObjValTimesElapsedTime,nSolutionDividedByN,deltaNSolutionDividedByN,sumPenaltyDividedByObjVal,deltaSumPenaltyDividedByObjVal,sumEdgeCostDividedByObjVal,deltaSumEdgeCostDividedByObjVal
50,0.1,100,2475,808.332,1160.59,258.666,6.01302e+10,1.04858e+08,75.8519,28.8119,257.944,233.032,902.648,381.094,6.97844e+13,1.55403e+13,0.758519,0.288119,0.238629,0.214461,0.761371,0.214461
50,0.1,200,9950,3249.66,1868.74,412.875,6.0579e+10,4.31873e+08,151.222,65.0606,568.556,523.741,1300.19,586.31,1.13222e+14,2.5096e+13,0.756111,0.325303,0.302145,0.265643,0.697855,0.265643
50,0.2,50,613,200.042,767.944,189.368,6.00487e+10,3.42312e+07,39.3148,11.6043,113.815,99.1028,654.13,242.816,4.61131e+13,1.13673e+13,0.786296,0.232086,0.165971,0.147249,0.834029,0.147249
50,0.2,100,2475,808.332,1159.8,256.74,6.01534e+10,1.08639e+08,75.3889,29.545,269.667,242.055,890.13,373.633,6.9764e+13,1.5429e+13,0.753889,0.29545,0.246305,0.215191,0.753695,0.215191
50,0.2,200,9950,3249.66,1893.41,433.953,6.06239e+10,5.6248e+08,148.296,66.012,609.037,568.183,1284.37,586.564,1.14861e+14,2.66888e+13,0.741481,0.33006,0.314331,0.27086,0.685669,0.27086
50,0.3,50,613,200.042,769.241,187.763,6.00484e+10,3.25353e+07,39.3704,11.9494,116.241,106.204,653,244.489,4.61899e+13,1.12666e+13,0.787407,0.238988,0.168953,0.155875,0.831047,0.155875
50,0.3,100,2475,808.332,1161.94,256.938,6.01545e+10,9.71479e+07,73.5556,28.5383,278.352,235.926,883.593,373.106,6.98925e+13,1.54363e+13,0.735556,0.285383,0.254423,0.213443,0.745577,0.213443
50,0.3,200,9950,3249.66,1882.96,425.382,6.06602e+10,4.58856e+08,148.63,64.9368,593.63,553.792,1289.33,574.247,1.14236e+14,2.5883e+13,0.743148,0.324684,0.307847,0.269244,0.692153,0.269244
100,0.1,50,613,200.042,770.778,189.369,6.00954e+10,5.79455e+07,39.7407,11.6049,112.056,98.2927,658.722,244.042,4.63176e+13,1.13647e+13,0.794815,0.232098,0.163878,0.148281,0.836122,0.148281
100,0.1,100,2475,808.332,1168.85,265.768,6.03439e+10,2.03564e+08,76.8333,28.6426,255.87,222.152,912.981,371.056,7.0526e+13,1.5997e+13,0.768333,0.286426,0.233095,0.19817,0.766905,0.19817
100,0.1,200,9950,3249.66,1949.24,414.615,6.23398e+10,3.97205e+09,148.981,67.9437,605.537,561.359,1343.7,605.794,1.21244e+14,2.52311e+13,0.744907,0.339719,0.308795,0.267619,0.691205,0.267619
100,0.2,50,613,200.042,775.611,194.93,6.00974e+10,6.03036e+07,39.963,11.7394,112.148,99.4538,663.463,245.528,4.66109e+13,1.1709e+13,0.799259,0.234788,0.161795,0.146948,0.838205,0.146948
100,0.2,100,2475,808.332,1169.5,260.468,6.03131e+10,2.00552e+08,77.3148,28.2363,250.204,222.622,919.296,368.366,7.0533e+13,1.5689e+13,0.773148,0.282363,0.227916,0.200238,0.772084,0.200238
100,0.2,200,9950,3249.66,1953.89,420.818,6.24384e+10,3.76739e+09,151.333,67.5376,604.722,568.742,1349.17,615.945,1.21727e+14,2.56463e+13,0.756667,0.337688,0.307847,0.271245,0.692153,0.271245
100,0.3,50,613,200.042,778.426,196.881,6.00985e+10,6.21088e+07,39.9074,11.8467,115.019,101.934,663.407,247.69,4.678e+13,1.18231e+13,0.798148,0.236933,0.164869,0.148919,0.835131,0.148919
100,0.3,100,2475,808.332,1169.93,263.736,6.03013e+10,2.15313e+08,75.2037,28.8928,270.093,243.683,899.833,379.103,7.05352e+13,1.58466e+13,0.752037,0.288928,0.244752,0.213202,0.755248,0.213202
100,0.3,200,9950,3249.66,1966.56,418.416,6.26888e+10,4.11125e+09,150.481,71.2413,624.574,583.954,1341.98,628.187,1.2299e+14,2.56196e+13,0.752407,0.356207,0.316118,0.277367,0.683882,0.277367
