t,m,deltaM,flag,deltaFlag,objVal1,deltaObjVal1,gap1,deltaGap1,elapsedTime1,deltaElapsedTime1,objVal2,deltaObjVal2,gap2,deltaGap2,elapsedTime2,deltaElapsedTime2,totalElapsedTime,deltaTotalElapsedTime,nSolution,deltaNSolution,sumPenalty,deltaSumPenalty,sumEdgeCost,deltaSumEdgeCost,objVal2TimesTotalElapsedTime,deltaObjVal2TimesTotalElapsedTime,nSolutionDividedByN,deltaNSolutionDividedByN,sumPenaltyDividedByObjVal2,deltaSumPenaltyDividedByObjVal2,sumEdgeCostDividedByObjVal2,deltaSumEdgeCostDividedByObjVal2
0,0,0,1,0,-11.2369,9.36622,2.26931e-06,1.35972e-05,5.56464e+07,7.5776e+07,1510.54,1665.19,0.0360127,0.148583,7.42098e+09,1.92905e+10,7.47663e+09,1.929e+10,33.1029,35.192,573.324,509.061,937.221,1725.66,2.65229e+13,1.10705e+14,0.383309,0.337622,0.413107,0.268973,0.586893,0.268973
1,0,0,1,0,-6.79686,5.62495,2.78146e-06,1.2956e-05,4.82717e+07,5.76398e+07,1870.28,1359.01,0.0214489,0.113686,4.41679e+09,1.42834e+10,4.46506e+09,1.42851e+10,31.5735,30.1668,1106.99,989.443,763.294,1198.65,1.41232e+13,7.66394e+13,0.383382,0.338642,0.527462,0.308556,0.472538,0.308556
