n,d,k,t,i,m,flag,objVal1,gap1,elapsedTime1,objVal2,gap2,elapsedTime2,totalElapsedTime,nSolution,sumPenalty,sumEdgeCost,objVal2*totalElapsedTime,nSolution/n,sumPenalty/objVal2,sumEdgeCost/objVal2
50,0.3,20,0,1,0,1,-6.53398,0,10751707,749,0,4191539,14943246,9,300,449,1.11925e+10,0.18,0.400534,0.599466
50,0.3,20,0,2,0,1,-6.41824,0,10363100,812,0,6286613,16649713,10,291,521,1.35196e+10,0.2,0.358374,0.641626
50,0.3,20,1,0,0,1,-3.81649,0,13134372,1091,0,11489910,24624282,11,589,502,2.68651e+10,0.22,0.539872,0.460128
50,0.3,20,1,1,0,1,-5.22775,0,9974252,845,0,5746929,15721181,9,484,361,1.32844e+10,0.18,0.572781,0.427219
50,0.3,20,1,2,0,1,-4.2732,0,10361630,977,0,4111511,14473141,10,559,418,1.41403e+10,0.2,0.57216,0.42784
50,0.5,0,0,0,0,1,0,0,13918501,1020,0.132353,60107761191,60121679692,50,0,1020,6.13241e+13,1,0,1
50,0.5,0,0,1,0,1,0,0,13536422,718,0.0557103,60030741487,60044277909,50,0,718,4.31118e+13,1,0,1
50,0.5,0,0,2,0,1,8.88178e-16,0,13728562,744,0,408832031,422560593,50,0,744,3.14385e+11,1,0,1
50,0.5,0,1,0,0,1,8.88178e-16,0,13827424,819,0.001221,60030327620,60044155044,50,0,819,4.91762e+13,1,0,1
50,0.5,0,1,1,0,1,-0.142857,0,14988805,785,0,1243943675,1258932480,49,6,779,9.88262e+11,0.98,0.00764331,0.992357
50,0.5,0,1,2,0,1,8.88178e-16,0,10378661,870,0,685115767,695494428,50,0,870,6.0508e+11,1,0,1
50,0.5,10,0,0,0,1,-3.27675,0,10990182,788,0,21618566,32608748,21,262,526,2.56957e+10,0.42,0.332487,0.667513
50,0.5,10,0,1,0,1,-3.72908,0,8217974,809,0,68286549,76504523,29,146,663,6.18922e+10,0.58,0.18047,0.81953
50,0.5,10,0,2,0,1,-5.10517,0,7922848,830,0,76368697,84291545,25,164,666,6.9962e+10,0.5,0.19759,0.80241
50,0.5,10,1,0,0,1,-3.04436,0,6372643,883,0,133934006,140306649,26,287,596,1.23891e+11,0.52,0.325028,0.674972
50,0.5,10,1,1,0,1,-3.04688,0,9700790,913,0,29292771,38993561,24,362,551,3.56011e+10,0.48,0.396495,0.603505
50,0.5,10,1,2,0,1,-2.61642,0,12480219,989,0,47563222,60043441,23,334,655,5.9383e+10,0.46,0.337715,0.662285
50,0.5,20,0,0,0,1,-5.8856,0,10356999,709,0,3252570,13609569,9,342,367,9.64918e+09,0.18,0.48237,0.51763
50,0.5,20,0,1,0,1,-6.24409,0,8204557,654,0,4760127,12964684,10,294,360,8.4789e+09,0.2,0.449541,0.550459
50,0.5,20,0,2,0,1,-5.76111,0,8000952,714,0,14249083,22250035,11,298,416,1.58865e+10,0.22,0.417367,0.582633
50,0.5,20,1,0,0,1,-4.31693,0,5994143,993,0,6215572,12209715,11,612,381,1.21242e+10,0.22,0.616314,0.383686
50,0.5,20,1,1,0,1,-4.28287,0,7273455,917,0,7389942,14663397,11,518,399,1.34463e+10,0.22,0.564885,0.435115
50,0.5,20,1,2,0,1,-3.99476,0,10228622,1046,0,13232202,23460824,12,558,488,2.454e+10,0.24,0.533461,0.466539
50,0.7,0,0,0,0,1,1.77636e-15,0,11042028,753,0,5262300037,5273342065,50,0,753,3.97083e+12,1,0,1
50,0.7,0,0,1,0,1,2.66454e-15,0,13116383,705,0,7958675936,7971792319,50,0,705,5.62011e+12,1,0,1
50,0.7,0,0,2,0,1,1.77636e-15,0,13439491,657,0,2811233634,2824673125,50,0,657,1.85581e+12,1,0,1
50,0.7,0,1,0,0,1,1.77636e-15,0,13692168,715,0,2864169536,2877861704,50,0,715,2.05767e+12,1,0,1
50,0.7,0,1,1,0,1,1.77636e-15,0,13680579,682,0,8566548328,8580228907,50,0,682,5.85172e+12,1,0,1
50,0.7,0,1,2,0,1,0,0,13991402,667,0,4826257099,4840248501,50,0,667,3.22845e+12,1,0,1
50,0.7,10,0,0,0,1,-4.11529,0,11932982,734,0,608975468,620908450,25,192,542,4.55747e+11,0.5,0.26158,0.73842
50,0.7,10,0,1,0,1,-5.01392,0,10922671,675,0,39340716,50263387,24,169,506,3.39278e+10,0.48,0.25037,0.74963
50,0.7,10,0,2,0,1,-4.63853,0,8573828,814,0,102483919,111057747,27,135,679,9.0401e+10,0.54,0.165848,0.834152
50,0.7,10,1,0,0,1,-2.91596,0,10267530,916,0,90360318,100627848,22,392,524,9.21751e+10,0.44,0.427948,0.572052
50,0.7,10,1,1,0,1,-2.69717,0,11173218,870,0,44547048,55720266,25,375,495,4.84766e+10,0.5,0.431034,0.568966
50,0.7,10,1,2,0,1,-1.87394,0,11411312,902,0,30459767,41871079,23,409,493,3.77677e+10,0.46,0.453437,0.546563
50,0.7,20,0,0,0,1,-5.90677,0,10780751,622,0,5504598,16285349,10,300,322,1.01295e+10,0.2,0.482315,0.517685
50,0.7,20,0,1,0,1,-8.24883,0,10570060,622,0,5453878,16023938,9,255,367,9.96689e+09,0.18,0.409968,0.590032
50,0.7,20,0,2,0,1,-5.52214,0,7345877,680,0,4118431,11464308,9,358,322,7.79573e+09,0.18,0.526471,0.473529
50,0.7,20,1,0,0,1,-2.92566,0,12458139,958,0,3653593,16111732,9,612,346,1.5435e+10,0.18,0.638831,0.361169
50,0.7,20,1,1,0,1,-4.59291,0,9781799,877,0,4148143,13929942,10,537,340,1.22166e+10,0.2,0.612315,0.387685
50,0.7,20,1,2,0,1,-6.27014,0,7598620,812,0,5244705,12843325,9,484,328,1.04288e+10,0.18,0.596059,0.403941
100,0.3,0,0,0,0,1,7.10543e-15,0,36913349,2424,0.380363,60137250977,60174164326,100,0,2424,1.45862e+14,1,0,1
100,0.3,0,0,1,0,0,1.77636e-15,0,39564554,1e+100,1e+100,60105718698,60145283252,0,804,0,6.01453e+110,0,8.04e-98,0
100,0.3,0,0,2,0,1,3.55271e-15,0,35651909,1431,0.00489168,60145397399,60181049308,100,0,1431,8.61191e+13,1,0,1
100,0.3,0,1,0,0,0,-0.25,0,37127078,1e+100,1e+100,60066286362,60103413440,0,1507,0,6.01034e+110,0,1.507e-97,0
100,0.3,0,1,1,0,1,7.10543e-15,0,38607673,1514,0,18653669499,18692277172,100,0,1514,2.83001e+13,1,0,1
100,0.3,0,1,2,0,1,-0.0588235,0,35522621,2177,0.33808,60070145323,60105667944,99,16,2161,1.3085e+14,0.99,0.00734956,0.99265
100,0.3,10,0,0,0,1,-10.4675,0,27568038,1301,0,60294559,87862597,29,535,766,1.14309e+11,0.29,0.411222,0.588778
100,0.3,10,0,1,0,1,-8.0252,0,25331200,1409,0,40150046,65481246,32,576,833,9.22631e+10,0.32,0.408801,0.591199
100,0.3,10,0,2,0,1,-12.6263,0,26613188,1277,0,41333834,67947022,31,460,817,8.67683e+10,0.31,0.360219,0.639781
100,0.3,10,1,0,0,1,-5.79977,0,21645079,1796,0,30720368,52365447,32,1007,789,9.40483e+10,0.32,0.56069,0.43931
100,0.3,10,1,1,0,1,-5.61244,0,20956318,1711,0,1204748757,1225705075,31,955,756,2.09718e+12,0.31,0.558153,0.441847
100,0.3,10,1,2,0,1,-7.42482,0,20932567,1588,0,16047700,36980267,30,889,699,5.87247e+10,0.3,0.559824,0.440176
